title,author,isbn,year,editorial
Canta Irlanda: Un Viaje Por El Eyre,Javier Reverte,9788401346873,2014,Plaza & Janes Editores
El Pozo De La Ascension (Nacidos De La Bruma-Mistborn (Edicion Ilustrada 2),Brandon Sanderson,9788418037276,2021,Nova
Academia De Madres: El Origen,Nachter,9788427049697,2022,Martinez Roca
La Caida De Gondolin,J.r.r. Tolkien,9788445006092,2019,Minotauro
El Ascenso De La Sombra (La Rueda Del Tiempo Nº 04),Robert Jordan,9788445007037,2020,Minotauro
Los Hijos De Hurin,J.r.r. Tolkien,9788445006498,2019,Minotauro
Star Wars El Libro De Los Sith,Daniel Wallace,9788445005798,2021,Minotauro
La Historia De Tu Vida,Ted Chiang,9788498891355,2021,Alamut Ediciones
El Imperio Final (Saga Nacidos De La Bruma 1),Brandon Sanderson,9788417347291,2018,S.A. Ediciones B
Binti: Hogar,Nnedi Okorafor,9788494795848,2018,Crononauta
Arcanum Ilimitado: La Coleccion Del Cosmere,Brandon Sanderson,9788466662321,2017,S.A. Ediciones B
Star Wars Las Guerras De Los Cazarrecompensas Nº 2/3 Nave Esclava (Novela),K. W. Jeter,9788411121477,2022,Planeta De Agostini
Los Seis De Atlas,Olivie Blake,9788416517817,2022,Umbriel
La Costa Mas Lejana,Ursula K. Le Guin,9788445012123,2022,Minotauro
La Espada Del Destino (Saga Geralt De Rivia 2) (Edicion Coleccion Ista),Andrzej Sapkowski,9788498890433,2010,Alamut Ediciones
Weird Tales 1933-1942,Francisco Arellano,9788492492039,2008,La Biblioteca Del Laberinto
Drama Queen,La Drama Queen,9788427049895,2022,Martinez Roca
Elfo Oscuro Nº 02/03 El Exilio,R.a. Salvatore,9788445011096,2022,Minotauro
Roma Desordenada: La Ciudad Y Lo Demas,Juan Claudio de Ramon,9788419207470,2022,Siruela
Elfo Oscuro Nº 03/03 El Refugio,R.a. Salvatore,9788445011157,2022,Minotauro
Nuestra Parte De Noche (Premio Herralde De Novela 2019) (Premio Nacional De La Critica 2019),Mariana Enriquez,9788433998859,2019,Anagrama
La Caja De Botones De Gwendy,Stephen King,9788491292418,2018,Suma
Sombras De Identidad (Saga Nacidos De La Bruma 5),Brandon Sanderson,9788466658850,2016,S.A. Ediciones B
El Retorno De Nagash (Ciclo Warhammer The End Times 1/5),Josh Reynolds,9788445003374,2016,Minotauro
Aleacion De Ley (Saga Nacidos De La Bruma 4),Brandon Sanderson,9788466658928,2016,S.A. Ediciones B
El Pozo De La Ascension (Saga Nacidos De La Bruma 2),Brandon Sanderson,9788466658904,2016,S.A. Ediciones B
Territorios Improbables,Pedro Torrijos,9788417248826,2021,Kailas
Star Wars The High Republic Luz De Los Jedi (Novela),Charles Soule,9788413416366,2021,Planeta De Agostini
Hechicero,Carlos Sisi,9788445012215,2022,Minotauro
Trilogia Fundacion (Edicion Ilustrada),Isaac Asimov,9788418037542,2022,Nova
Un Trato Con El Rey De Los Elfos,Elise Kova,9788416517695,2022,Umbriel
Star Wars Darth Bane Camino De Destruccion,Drew Karpyshyn,9788491739050,2019,Planeta De Agostini
Proyecto Hail Mary,Andy Weir,9788418037016,2021,Nova
La Rueda Del Tiempo Nº 10/14 Encrucijada En El Crepusculo,Robert Jordan,9788445007099,2021,Minotauro
El Ministerio Del Futuro,Kim Stanley Robinson,9788445009833,2021,Minotauro
La Estirpe De Lilith (Trilogia Xenogenesis),Octavia E. Butler,9788418037108,2021,Nova
La Rueda Del Tiempo Nº 09/14 El Corazon Del Invierno,Robert Jordan,9788445007082,2021,Minotauro
Hellraiser: El Corazon Condenado,Clive Barker,9788494664762,2017,Hermida Editores S.L.
Las Luminosas,Lauren Beukes,9788491878346,2022,Rba Libros
El Señor De Los Anillos (Ne). Ilustrado Por Alan Lee,J.r.r. Tolkien,9788445011119,2022,Minotauro
El Exorcismo De Mi Mejor Amiga,Grady Hendrix,9788445012482,2022,Minotauro
La Vuelta De Tuerca,Henry James,9788477029298,2022,Valdemar
Hemoderivadas,Ana Llurba,9788412435344,2022,Aristas Martinez Ediciones
Bautismo De Fuego (Saga Geralt De Rivia 5) (Edicion Coleccionista ),Andrzej Sapkowski,9788498890549,2010,Alamut Ediciones
La Torre De La Golondrina (Saga Geralt De Rivia 6 (Edicion Colecc Ionista),Andrzej Sapkowski,9788498890570,2011,Alamut Ediciones
La Dama Del Lago (Saga Geralt De Rivia 7) (Edicion Coleccionista),Andrzej Sapkowski,9788498890624,2011,Alamut Ediciones
El Temor De Un Hombre Sabio (Saga Cronica Del Asesino De Reyes 2),Patrick Rothfuss,9788401339639,2011,Plaza & Janes Editores
El Nombre Del Viento (Saga Cronica Del Asesino De Reyes 1),Patrick Rothfuss,9788401337208,2009,Plaza & Janes Editores
Quienes Se Marchan De Omelas,Ursula K. Le Guin,9788418930478,2022,Nordica
El Fruto Prohibido,Liv Stromquist,9788418897528,2022,Reservoir Books
Elfo Oscuro Nº 01/03 La Morada,R.a. Salvatore,9788445011072,2022,Minotauro
Cuernos,Joe Hill,9788418440380,2022,Nocturna Ediciones
La Sombra De Dreinlar,Bernard Torello Lopez,9788445011065,2022,Minotauro
Los Archivos Del Doctor Hesselius,Joseph Sheridan Le Fanu,9788477029328,2022,Valdemar
El Juego Del Principe (Saga El Principe Cautivo 2),C. S. Pacat,9788417525033,2018,Oz Editorial
La Ciudad De Los Espejos,Justin Cronin,9788492915941,2017,Umbriel
Escuadron,Brandon Sanderson,9788417347277,2018,S.A. Ediciones B
El Hobbit (Tapa Dura Lujo),J.r.r. Tolkien,9788445073803,2002,Minotauro
Assassin S Creed Valhalla,Matthew J. Kirby,9788445009536,2020,Minotauro
Dragonlance: Quinta Era (Edicion Coleccionista),Jean Rabe,9788448038229,2001,Timun Mas
Palabras Radiantes (Saga El Archivo De Las Tormentas 2),Brandon Sanderson,9788466657549,2015,S.A. Ediciones B
El Problema De Los Tres Cuerpos (Trilogia De Los Tres Cuerpos 1),Cixin Liu,9788466659734,2016,S.A. Ediciones B
Padre El Ultimo Mono,Berto Romero,9788408003953,2012,Planeta
Una Princesa De Marte: Bajo Las Lunas De Marte 1,Edgar Rice Burroughs,9788492492701,2012,La Biblioteca Del Laberinto
Promesa De Sangre (Magos De La Polvora 1),Brian Mcclellan,9788412299229,2021,Trini Vergara Ediciones Sl
Esquirla Del Amanecer (El Archivo De Las Tormentas 3.5),Brandon Sanderson,9788418037238,2021,Nova
El Ultimo Ritual,S. A. Sidor,9788445011577,2022,Minotauro
Una Obsesion Perversa,V.e. Schwab,9788416517602,2021,Umbriel
Los Evangelios Escarlata,Clive Barker,9788412382631,2021,Hermida Editores S.L.
La Ira De N Kai,Josh Reynolds,9788445008027,2021,Minotauro
The Horus Heresy Nº 51/54 Esclavos De La Oscuridad,John French,9788445008393,2022,Minotauro
Nadie Nace Sabiendo (Ejemplar Firmado Por El Autor),Farmaceutico Fernandez,2910024779746,2022,Plan B
La Pluma Magica De Gwendy (La Caja De Botones De Gwendy 2),Richard Chizmar,9788491296270,2022,Suma
Nostalgia Milenial,Nostalgia Milenial,9788418040016,2021,Random Comics
Manual De Una Autentica Mamarracha,German Sanchez @gersanc,9788427049482,2022,Martinez Roca
Amanecer Rojo 1,Pierce Brown,9788491876939,2022,Rba Libros
Flores Para Algernon,Daniel Keyes,9788498891157,2019,Alamut Ediciones
Cuentos Completos,Edgar Allan Poe,9788417477684,2019,Pluton Ediciones
El Temor De Un Hombre Sabio (Tapa Dura) (Saga Cronica Del Asesino De Reyes 2),Patrick Rothfuss,9788401352331,2011,Plaza & Janes Editores
Historias De Nueva York,Enric Gonzalez,9788490563786,2014,Rba Libros
Siempre Hemos Vivido En El Castillo,Shirley Jackson,9788494534867,2017,Minuscula
Los Peligros De Fumar En La Cama,Mariana Enriquez,9788433998248,2017,Anagrama
El Dragon Renacido (La Rueda Del Tiempo Nº 3),Robert Jordan,9788445007020,2020,Minotauro
Un Mundo Helado,Naomi Novik,9788408213789,2019,Planeta
Conjuro De Luz (Trilogia Sombras De Magia 3),V.e. Schwab,9788445006030,2019,Minotauro
Y Vendra La Oscuridad (Trilogia La Era De La Oscuridad 1),Katy Rose Pool,9788416517244,2019,Umbriel
Fuego Y Sangre (Cancion De Hielo Y Fuego) (Rustica),George R.r. Martin,9788401024061,2020,Plaza & Janes Editores
El Encuadernador,Bridget Collins,9788401024290,2020,Plaza & Janes Editores
Binti: La Mascarada Nocturna,Nnedi Okorafor,9788412059915,2019,Crononauta
Las Crisalidas,John Wyndham,9788491817345,2019,Alianza Editorial
Un Verano Tenebroso,Dan Simmons,9788466664738,2019,S.A. Ediciones B
Dune,Frank Herbert,9788417347628,2019,S.A. Ediciones B
Camino Sin Retorno,Andrzej Sapkowski,9788498891232,2019,Alamut Ediciones
El Relato,Ursula K. Le Guin,9788445009772,2021,Minotauro
Gotico,Silvia Moreno-Garcia,9788445009819,2021,Minotauro
(I.B.D.) America Del Sur Ruta Azul 1,Emilio Scotto,9788418435577,2020,Caligrama Editorial
A Tumba Abierta,Joe Hill,9788417834968,2021,Nocturna Ediciones
Una Educacion Mortal,Naomi Novik,9788416517411,2021,Umbriel
Los Seres Huecos (Las Cintas De Blackwood Vol. 1),Guillermo Del Toro,9788413620787,2020,Alianza Editorial
It,Stephen King,9788466347921,2019,Debolsillo (Punto De Lectura)
Star Wars The Old Republic Revan,Drew Karpyshyn,9788491739074,2021,Planeta De Agostini
Ilustrepedia: Enciclopedia Del Desconocimiento,Ilustres Ignorantes,9788418260391,2021,Lunwerg
Memorias Del Hielo (Saga Malaz: El Libro De Los Caidos 3),Steven Erikson,9788466662666,2018,S.A. Ediciones B
Kurtyka: El Arte De La Libertad: La Via Y Las Escaladas De Un Alpinista Singular,Bernadette Mcdonald,9788498294163,2018,Desnivel
Vampiro,Hanns Heinz Ewers,9788477028796,2018,Valdemar
(Pe) El Rapto De La Novicia Los Cañones De Los Pujol Y Monsieur Pipet De Lagarde,Alfonso Ussia,9788499986258,2018,Temas De Hoy
Dracula (Clasicos Ilustrados),Bram Stoker,9788415618836,2018,Alma Europa
En Tu Puta Vida,Carlos Yuste,9788417103583,2018,Grupo Lantia Publishing
El Ultimo Deseo (Saga Geralt De Rivia 1)(Rustica),Andrzej Sapkowski,9788498891270,2019,Alamut Ediciones
Hex,Thomas Olde Heuvelt,9788417834524,2020,Nocturna Ediciones
Un Poco De Odio (Trilogia La Era De La Locura 1) (Mundo De La Pri Mera Ley),Joe Abercrombie,9788491818038,2020,Alianza Editorial
Un Chico Y Su Perro En El Fin Del Mundo,C. A. Fletcher,9788445008317,2020,Minotauro
Assassin S Creed: Revelations,Oliver Bowden,9788445008263,2020,Minotauro
Fahrenheit 451 (Edicion Del Centenario),Ray Bradbury,9788417125844,2021,Reservoir Books
El Guerrero De Los Altaii,Robert Jordan,9788445008225,2020,Minotauro
Star Wars Thrawn Alianzas (Novela),Timothy Zahn,9788413411781,2020,Planeta De Agostini
La Memoria Del Viento: Primera Vuelta Al Mundo Del Juan Sebastian El Cano (1928-1929),Cristobal Serran Ortiz,9788494788079,2018,El Viento
Star Wars La Ultima Orden (Novela),Timothy Zahn,9788491468899,2018,Planeta De Agostini
La Santa,Dan Abnett,9788445005507,2018,Minotauro
Fuego Y Sangre (Cancion De Hielo Y Fuego),George R.r. Martin,9788401022166,2018,Plaza & Janes Editores
La Puerta De Abadon (The Expanse 3),James S. A. Corey,9788417347208,2018,S.A. Ediciones B
El Principe Cautivo (Saga El Principe Cautivo 1),C. S. Pacat,9788416224982,2018,Oz Editorial
Narraciones Extraordinarias (Edicion Ilustrada),Edgar Allan Poe,9788415618690,2017,Alma Europa
Larga Distancia,Martin Caparros,9788416665129,2017,Malpaso Ediciones
La Llamada De Cthulhu (Edicion Ilustrada),H.p. Lovecraft,9788415618683,2017,Alma Europa
El Zoo De Papel Y Otros Relatos,Ken Liu,9788491046875,2017,Alianza Editorial
La Guerra De Caliban (The Expanse 2),James S. A. Corey,9788466660884,2017,S.A. Ediciones B
Brazales De Duelo (Saga Nacidos De La Bruma 6),Brandon Sanderson,9788466659628,2017,S.A. Ediciones B
Materia Oscura,Blake Crouch,9788416858217,2017,Nocturna Ediciones
The Horus Heresy Nº 53/54 Muerte Titanica,Guy Haley,9788445008416,2022,Minotauro
Venecia,Jan Morris,9788419168023,2022,Gallo Nero
Sleepy Hollow. La Leyenda Del Jinete Sin Cabeza (Ed. Gigante Ilustrada),Washington Irving,9788419343048,2022,Sapere Aude
Grupo De Apoyo Para Final Girls,Grady Hendrix,9788445013120,2022,Minotauro
Una Venganza Mortal,V.e. Schwab,9788416517596,2022,Umbriel
Ciaphas Cain Omnibus,Sandy Mitchell,9788445012383,2022,Minotauro
Ansibles Perfiladores Y Otras Maquinas De Ingenio,Andrea Chapela,9788412520521,2022,Almadia
Biografies Il·Lustres De Personatges Breus,Victor Nubla,9788412538403,2022,Males Herbes
Metro 2033 (Cts: Comienza Tu Serie),Dmitry Glukhovsky,9788445013700,2022,Minotauro
Gitslayer,Darius Hinks,9788445011751,2022,Minotauro
Corazonadas,Miguel Peidro,9788411282239,2022,Circulo Rojo
Dioses De Neon (Serie Dark Olympus 1),Katee Robert,9788427050457,2022,Martinez Roca
La Ultima Mision De Gwendy (Trilogia La Caja De Botones De Gwendy 3),Stephen King,9788491296331,2022,Suma
El Buscador De Esencias,Dominique Roques,9788419207340,2022,Siruela
Star Wars Leyendas. Kenobi (Novela),John Jackson Miller,9788411121170,2022,Planeta De Agostini
El Camino Del Viajero: Mi Septimo Viaje Alrededor Del Mundo (2ª E D),Jorge Sanchez,9788498271522,2011,Dilema
Polo Sur: Relato De La Expedicion Noruega A La Antartica Del Fram 1910-1912,Roald Amundsen,9788493695057,2010,Interfolio
Solaris,Stanislaw Lem,9788415130093,2011,Impedimenta
Libano-Palestina: Viaje A Oriente,Gustave Flaubert,9788493868925,2011,Cabaret Voltaire
Novisimas Aventuras De Sherlock Holmes,Enrique Jardiel Poncela,9788492403097,2010,Rey Lear
Un Crimen Cientifico Y Otros Cuentos,Jose Fernandez Bremon,9788483810248,2008,Lengua De Trapo
La Vuelta Al Mundo En Mil Y Un Dias,Jorge Sanchez,9788498271126,2008,Dilema
Narrativa Completa (Vol. 2),H.p. Lovecraft,9788477025870,2010,Valdemar
La Sangre De Los Elfos (Saga Geralt De Rivia 3) (Edicion Coleccio Nista),Andrzej Sapkowski,9788498890457,2010,Alamut Ediciones
Las Rutas Del Exilio,Marc Ripol,9788496434028,2007,Alhena Media
Los 38 Asesinatos Y Medio Del Castillo De Hull,Enrique Jardiel Poncela,9788493524555,2010,Rey Lear
Manual Para Viajeros Y Lectores En Casa: Galicia Y Asturias,Richard Ford,9788475068688,2009,Turner
Las Tres Puertas Del Mediterraneo,Daniel Rondeau,9788493585716,2008,Almed Ediciones
El Templo De Los Vientos: La Espada De La Verdad (Vol. 8),Terry Goodkind,9788448032319,2004,Timun Mas
Las Tumbas De Atuan,Ursula K. Le Guin,9788445012222,2022,Minotauro
Gallant,V.e. Schwab,9788416517664,2022,Umbriel
Estuche Trilogia Los Tres Cuerpos,Cixin Liu,9788418037160,2020,Nova
Entremedias,Tananarive Due,9788412281361,2022,La Biblioteca De Carfax
El Tio Silas,Joseph Sheridan Le Fanu,9788477029281,2022,Valdemar
Star Wars Skywalker: Una Familia En Guerra (Novela),Kristen Baver,9788411121422,2022,Planeta De Agostini
La Pequeña Eve,Catriona Ward,9788413627892,2022,Alianza Editorial
El Circo De La Noche,Erin Morgenstern,9788416517282,2020,Umbriel
Estelar,Brandon Sanderson,9788417347741,2020,S.A. Ediciones B
Star Wars Maestro Y Aprendiz (Novela),Claudia Gray,9788491743583,2020,Planeta De Agostini
Mallorca Obert Tot L Any,Xavier Moret,9788498095180,2022,Portic
Consejos Para Las Niñas Buenas,Mark Twain,9788496509412,2006,Libros Del Zorro Rojo
El Archivo Nº1/2,V.e. Schwab,9788445007976,2020,Minotauro
Europa Nomada,Miquel Silvestre,9788460893721,2016,Autor-Editor
¡Eh Petrel!: Cuaderno De Un Navegante Solitario (12ª Ed.),Julio Villar,9788426156716,1989,Juventud
La Llamada De Cthulhu,H.p. Lovecraft,9788445006467,2019,Minotauro
Diarios De Kolima,Jacek Hugo-Bader,9788417496135,2019,La Caja Books
El Hambre,Alma Katsu,9788491814733,2019,Alianza Editorial
(Pe) Historia De Una Mujer Plantada,La Shatunga,9788427045323,2019,Martinez Roca
Diccionario De La Politica Española,Protestona,9788417001629,2019,Plan B
La Utopia Larga (Saga La Tierra Larga 4),Stephen Baxter,9788401019333,2017,Plaza & Janes Editores
Star Wars. Discipulo Oscuro,Christie Golden,9788491461654,2017,Planeta De Agostini
Las Puertas De La Casa De La Muerte (Saga Malaz: El Libro De Los Caidos 2),Steven Erikson,9788466660952,2017,S.A. Ediciones B
Mareas De Medianoche (Saga Malaz: El Libro De Los Caidos 5),Steven Erikson,9788417347222,2018,S.A. Ediciones B
Star Wars Ahsoka (Novela),E.k. Johnston,9788491730095,2018,Planeta De Agostini
Tiempo Extraño,Joe Hill,9788416858705,2018,Nocturna Ediciones
El Ogro: Biografia De Una Montaña Y La Dramatica Historia De Su Primera Ascension,Doug Scott,9788498294347,2018,Desnivel
Battle Royale,Koushun Takami,9788445005934,2020,Minotauro
(Pe) Obras Selectas H.P. Lovecraft,H.p. Lovecraft,9788497944373,2018,Edimat
A Ciegas,Josh Malerman,9788445005910,2018,Minotauro
Waylander (Ciclo Drenai 1),David Gemmell,9788499225050,2003,Gigamesh
Los Desposeidos,Ursula K. Le Guin,9788445009307,2020,Minotauro
El Dia De Los Trifidos,John Wyndham,9788413621487,2021,Alianza Editorial
El Ultimo Verano De La Urss,Sara Gutierrez,9788418141379,2021,Reino De Cordelia
Alejandria: Historia Y Guia,Edward Morgan Forster,9788493668549,2009,Almed Ediciones
World Of Warcraft: Mareas Tenebrosas,Aaron Rosenberg,9788490242834,2013,Panini
Nido De Pesadillas,Lisa Tuttle,9788494354618,2015,Nevsky Prospects Sl
La Casa Maldita Y Otros Casos Insolitos,Pedro Escamilla,9788494428708,2015,Qualea
Una Historia De Nueva York,Washington Irving,9788416440900,2016,Nordica
Cuchillo De Agua,Paolo Bacigalupi,9788415831914,2016,Fantascy
Material Sensible,Neil Gaiman,9788498387360,2016,S.A.) Salamandra (Publicaciones Y Ediciones Salamandra
Elantris (10º Aniversario),Brandon Sanderson,9788466658843,2016,S.A. Ediciones B
Los Dioses De Marte: Bajo Las Lunas De Marte 2,Edgar Rice Burroughs,9788492492718,2012,La Biblioteca Del Laberinto
Grecia-Italia: Viaje A Oriente,Gustave Flaubert,9788493868994,2012,Cabaret Voltaire
Historias De Roma,Enric Gonzalez Torralba,9788490564103,2015,Rba Libros
Vagabundo: Una Vuelta Al Mundo En Bici,Xavi Narro,9788466656238,2015,S.A. Ediciones B
Star Wars Novela: Darth Plagueis,James Luceno,9788416090105,2014,Planeta De Agostini
Qui Vol El Panglos?,Antoni Olive Ramon,9788494363184,2015,Voliana Edicions
Abcedari Per A Adults,Oscar Dalmau,9788494386039,2016,S.A. Editorial La Galera
Dracula,Bram Stoker,9788415973362,2014,Reino De Cordelia
Nahum (Caballo De Troya 7),J.j. Benitez,9788408108108,2011,Planeta
Jerusalen (Caballo De Troya 1),J.j. Benitez,9788408108047,2011,Planeta
El Ultimo Deseo (Saga Geralt De Rivia 1)(Edicion Coleccionista),Andrzej Sapkowski,9788498890372,2009,Alamut Ediciones
Las Manos De Orlac,Maurice Renard,9788418708510,2021,Siruela
El Largo Viaje,Bernard Moitessier,9788426145963,2022,Juventud
Cts The Horus Heresy 1: Horus Señor De La Guerra (Comienza Tu Serie),Dan Abnett,9788445010648,2022,Minotauro
Piranesi,Susanna Clarke,9788418363283,2021,S.A.) Salamandra (Publicaciones Y Ediciones Salamandra
Una Cancion Salvaje,V.e. Schwab,9788416517626,2021,Umbriel
Sobre Hormigas Y Dinosaurios,Cixin Liu,9788418037498,2022,Nova
Huella Jonda Del Heroe,Montero Glez,9788412272062,2021,Muddy Waters
Bajo La Mirada Del Dragon Despierto,Mavi Doñate,9788401026164,2022,Plaza & Janes Editores
Las Brujas Del Ayer Y Del Mañana,Alix E. Harrow,9788418557682,2022,Roca Editorial De Libros
La Rueda Del Tiempo Nº 14/14 Un Recuerdo De Luz,Robert Jordan,9788445007136,2021,Minotauro
El Hijo Vengador: Amanecer De Fuego,Guy Haley,9788445011683,2021,Minotauro
La Pesca Del Diablo Y Otros Relatos Extraños,Pedro Escamilla,9788418320439,2021,Diabolo Ediciones S.L.
Star Wars Thrawn Ascendencia Nº 01- El Caos Crece (Novela),Timothy Zahn,9788413416892,2021,Planeta De Agostini
Cts Assassin S Creed 1: Renaissance,Oliver Bowden,9788445010617,2022,Minotauro
Un Viaje Por La Raya,Jose Ramon Alonso de la Torre,9788494976001,2021,El Paseo Editorial
El Darico Gris,Eva Amuedo,9788412382785,2022,Obscura Editorial S.L.
Horrorstor,Grady Hendrix,9788417615086,2022,Hidra
El Ultimo Graduado,Naomi Novik,9788416517671,2022,Umbriel
El Canino De Santiago,Sara Escudero Rodriguez,9788412323252,2021,Cb Fun Readers
El Color Que Cayo Del Cielo,H.p. Lovecraft,9788412229356,2021,Libros Del Zorro Rojo
La Rueda Del Tiempo Nº 13/14 Torres De Medianoche,Robert Jordan,9788445007129,2021,Minotauro
Star Wars. The High Republic: Tormenta Creciente (Novela),Cavan Scott,9788411121156,2022,Planeta De Agostini
Canallas (Rogues),George R.r. Martin,9788409333462,2021,Autor-Editor
Pasaporte Sentimental,Arturo San Agustin,9788418800191,2022,Catedral Editorial
Sombras Verdes Ballena Blanca,Ray Bradbury,9788445007839,2022,Minotauro
La Hija De Los Huesos (Trilogia El Imperio Hundido),Andrea Stewart,9788418711305,2022,Trini Vergara Ediciones Sl
La Semilla De Cthulhu,August Derleth,9788413626239,2022,Alianza Editorial
La Traicion De Montverre,Bridget Collins,9788416517718,2022,Umbriel
Los Desposeidos,Ursula K. Le Guin,9788445010020,2021,Minotauro
La Ciudad Justa,Jo Walton,9788412319682,2021,Duermevela Ediciones
Star Wars Cosecha Roja,Joe Schreiber,9788491739067,2019,Planeta De Agostini
Cuentos Completos,Herbert George Wells,9788477029007,2019,Valdemar
Cuentos,Edgar Allan Poe,9788491875598,2019,Rba Libros
Viaje A Ladakh El Pequeño Tibet,Marta Torres Santo Domingo,9788416783564,2018,Laertes
Maestro Zacharius O El Relojero Que Perdio Su Alma,Julio Verne,9788494956843,2019,Sd Edicions
El Nombre Del Viento (Ed. De Lujo Por El 10º Aniversario De La Publicacion),Patrick Rothfuss,9788401022524,2019,Plaza & Janes Editores
Los Caminos Del Mundo,Nicolas Bouvier,9788499427782,2019,Peninsula
La Biblia Segun Dios Tuitero,Dios Tuitero,9788494991349,2019,Malpaso Ediciones
El Nombre Del Viento (Tapa Dura) (Saga Cronica Del Asesino De Rey Es 1),Patrick Rothfuss,9788401352348,2011,Plaza & Janes Editores
Amundsen-Scott: Duelo En La Antartida,Javier Cacho Gomez,9788415174318,2017,Forcola
El Rey De Amarillo,Robert Chambers,9788477027119,2011,Valdemar
Mi Londres,Simonetta Agnello Hornby,9788494426346,2015,Gatopardo Ediciones
La Herejia De Horus 2: Falsos Dioses,Graham Mcneill,9788445003107,2016,Minotauro
La Herejia De Horus 1: Horus Señor De La Guerra,Dan Abnett,9788445003091,2016,Minotauro
La Herejia De Horus 9: Mechanicum,Graham Mcneill,9788445003176,2016,Minotauro
La Herejia De Horus 13: Nemesis,James Swallow,9788445003213,2016,Minotauro
Un Cuento Oscuro,Naomi Novik,9788408151487,2016,Planeta
Viaje A Pie / Mar De Nubes,Julio Villar,9788482166216,2016,Sua Edizioak
Avila (Rustica),Dionisio Ridruejo,9788494445552,2016,Gadir
Star Wars El Resurgir De La Fuerza Oscura (Novela),Timothy Zahn,9788491460695,2017,Planeta De Agostini
El Despertar Del Leviatan (The Expanse 1),James S. A. Corey,9788466660150,2016,S.A. Ediciones B
Lux Perpetua (Guerras Husitas 3),Andrzej Sapkowski,9788498890983,2016,Alamut Ediciones
Los Jardines De La Luna (Saga Malaz: El Libro De Los Caidos 1),Steven Erikson,9788466660877,2017,S.A. Ediciones B
El Señor Del Caos Nº 06/14,Robert Jordan,9788445007051,2020,Minotauro
Green Town 1: El Vino Del Estio,Ray Bradbury,9788445007464,2020,Minotauro
El Camino De Dagas Nº 08/14,Robert Jordan,9788445007075,2020,Minotauro
La Corona De Espadas Nº 07/14,Robert Jordan,9788445007068,2020,Minotauro
Le Repaire Des Rats,James Herbert,9782265076884,2003,Fleuve-Noir Ed.
Dictionnaire Amoureux De Venise,Philippe Sollers,9782259197199,2004,Plon
Le Seigneur Des Anneaux 2: Les Deux Tours,J.r.r. Tolkien,9782266118019,2001,Presses Pocket
La Planete Des Singes,Pierre Boulle,9782266118286,2001,Presses Pocket
Coulez Mes Larmes Dit Le Policier,Philip Kindred Dick,9782264030030,2002,10-18
Novedades Souvenirs Articulos De Coña,Roberto Bodegas,9788493667658,2014,Auga Editora
Guerre Des Boutons Lecture Fle,Louis Pergaud,2910022603890,0,Cle International
Sèrum D Una Nit D Estiu,Enfermera Saturada,9788416930135,2017,Rosa Dels Vents
¿Por Que Los Hombres Se Duermen Despues De Darse Un Revolcon?,Mark Leyner,9788483077702,2007,Peninsula
Leveil De Madame Isabel,Yolanda Felice,9788494804205,2017,Seleer
Falmung Y La Gema De Oscuridad,Jose Luis Martinez Martinez,9788494677199,2018,Tres Inviernos Editorial
